"Obs","AREA","RS_EXIT","RISK","SE","CIL","CIU"
"170",1,12634.00,0.02628,0.012484,0.010360,0.06668
"171",1,12635.00,0.02637,0.012526,0.010397,0.06690
"172",1,12644.00,0.02646,0.012567,0.010434,0.06713
"173",1,12645.00,0.02655,0.012609,0.010470,0.06735
"174",1,12645.00,0.02665,0.012650,0.010507,0.06757
"175",1,12651.00,0.02674,0.012692,0.010544,0.06779
"176",1,12653.00,0.02683,0.012733,0.010581,0.06801
"177",1,12655.00,0.02692,0.012774,0.010618,0.06823
"178",1,12656.00,0.02701,0.012816,0.010655,0.06846
"179",1,12657.00,0.02710,0.012857,0.010692,0.06868
"180",1,12660.00,0.02719,0.012898,0.010728,0.06890
"181",1,12661.00,0.02728,0.012939,0.010765,0.06912
"182",1,12663.00,0.02737,0.012981,0.010802,0.06934
"183",1,12668.00,0.02746,0.013021,0.010838,0.06956
"184",1,12679.00,0.02754,0.013061,0.010873,0.06977
"185",1,12687.00,0.02763,0.013100,0.010908,0.06998
"186",1,12689.00,0.02771,0.013138,0.010941,0.07018
"187",1,12693.00,0.02780,0.013177,0.010976,0.07039
"188",1,12694.00,0.02788,0.013216,0.011011,0.07060
"189",1,12698.00,0.02797,0.013255,0.011046,0.07081
"190",1,12709.00,0.02805,0.013293,0.011080,0.07101
"191",1,12709.00,0.02813,0.013330,0.011113,0.07121
"192",1,12721.00,0.02821,0.013367,0.011147,0.07141
"193",1,12724.00,0.02829,0.013404,0.011179,0.07160
"194",1,12727.00,0.02837,0.013440,0.011212,0.07180
"195",1,12731.00,0.02845,0.013476,0.011244,0.07199
"196",1,12732.00,0.02853,0.013512,0.011276,0.07218
"197",1,12743.00,0.02861,0.013547,0.011308,0.07237
"198",1,12744.00,0.02869,0.013584,0.011340,0.07257
"199",1,12748.00,0.02877,0.013620,0.011373,0.07276
"200",1,12750.00,0.02885,0.013656,0.011406,0.07296
"201",1,12752.00,0.02893,0.013692,0.011438,0.07315
"202",1,12762.00,0.02900,0.013728,0.011470,0.07334
"203",1,12763.00,0.02908,0.013763,0.011501,0.07353
"204",1,12764.00,0.02916,0.013798,0.011533,0.07372
"205",1,12766.00,0.02923,0.013833,0.011564,0.07390
"206",1,12768.00,0.02931,0.013868,0.011596,0.07409
"207",1,12772.00,0.02939,0.013903,0.011627,0.07428
"208",1,12776.00,0.02946,0.013938,0.011659,0.07447
"209",1,12776.00,0.02954,0.013973,0.011690,0.07465
"210",1,12777.00,0.02962,0.014008,0.011722,0.07484
"211",1,12780.00,0.02970,0.014043,0.011754,0.07503
"212",1,12781.00,0.02977,0.014079,0.011785,0.07522
"213",1,12785.00,0.02985,0.014114,0.011817,0.07541
"214",1,12787.00,0.02993,0.014149,0.011849,0.07560
"215",1,12788.00,0.03000,0.014184,0.011880,0.07578
"216",1,12793.00,0.03008,0.014219,0.011912,0.07597
"217",1,12794.00,0.03016,0.014254,0.011943,0.07616
"218",1,12804.00,0.03024,0.014289,0.011975,0.07635
"219",1,12807.00,0.03031,0.014324,0.012007,0.07654
"220",1,12809.00,0.03039,0.014359,0.012038,0.07673
"221",1,12821.00,0.03047,0.014394,0.012070,0.07691
"222",1,12822.00,0.03054,0.014429,0.012101,0.07710
"223",1,12826.00,0.03062,0.014464,0.012132,0.07729
"224",1,12833.00,0.03070,0.014499,0.012163,0.07747
"225",1,12834.00,0.03077,0.014534,0.012195,0.07766
"226",1,12837.00,0.03085,0.014568,0.012225,0.07784
"227",1,12839.00,0.03092,0.014602,0.012256,0.07802
